,loan_word,original_word,cos_similarity
282,ख़ूबानी,خوبانی,0.4977397
283,ख़ूबी,خوبی,0.45772454
284,ख़ैर,خیر,0.4652072
285,ख़ैरात,خیرات,0.46939033
286,ख़ैरियत,خیریه,0.41000292
287,ख़ौफ़,خوف,0.53762925
288,ख़्वाजा,خواجه,0.5557843
289,ख़्वाब,خواب,0.6297124
290,ख़्वाबगाह,خوابگاه,0.6297124
291,ख़्वाहिश,خواهش,0.6232998
292,खीसा,کیسه,0.5978316
293,गंदगी,گندگی,0.54313236
294,गंदा,گنده,0.6587895
295,गज़,گز,0.68895787
296,गज़र,گزر,0.57971
297,गरेबान,گریبان,0.38349473
298,गर्द,گرد,0.608469
299,गर्दन,گردن,0.57256824
300,गर्दिश,گردش,0.5540371
301,-गर्दी,گردی,0.39405254
302,गर्म,گرم,0.553296
303,गर्मी,گرمی,0.66983455
304,गवाह,گواه,0.70171934
305,गवाही,گواهی,0.63731825
306,गश्त,گشت,0.62914395
307,ग़ज़ब,غضب,0.53949934
308,ग़ज़ल,غزل,0.48365188
309,ग़ज़ा,غزه,0.56846017
310,ग़द्दार,غدار,0.5330704
311,ग़म,غم,0.6581237
312,ग़रीबी,غریبی,0.63652956
313,ग़लत,غلط,0.5292444
314,ग़लती,غلطی,0.5292444
315,ग़ुलाम,غلام,0.6419309
316,ग़ुस्सा,غصه,0.55071896
317,ग़ैर,غیر,0.42321965
318,ग़ैर-,غیر,0.42321965
319,ग़ोता,غوطه,0.64007217
320,गिरफ़्त,گرفت,0.45381063
321,गिरफ़्तार,گرفتار,0.444944
322,गिरफ़्तारी,گرفتاری,0.4223126
323,गिरह,گره,0.6377465
324,-गिरी,گری,0.33944267
325,गिरोह,گروه,0.37734008
326,गिलहरी,گلهری,0.49973193
327,गिलास,گیلاس,0.68344975
328,गिलीम,گلیم,0.5856605
329,गुंजाइश,گنجایش,0.46713427
330,गुज़र,گذر,0.60528064
331,गुज़श्ता,گذشته,0.3731687
332,गुज़ारा,گذاره,0.58084035
333,गुज़ारिश,گزارش,0.39535028
334,गुनाह,گناه,0.6149891
335,गुफ़्तगू,گفتگو,0.40773475
336,गुफ़्तार,گفتار,0.39976215
337,गुम,گم,0.5872801
338,गुमनाम,گم‌نام,0.5890119
339,गुमशुदा,گم‌شده,0.5882328
340,गुर्जिस्तान,گرجستان,0.463636
341,गुलज़ार,گلزار,0.6717615
342,गुलदान,گلدان,0.6244813
343,गुलशन,گلشن,0.6598742
344,गुलाब,گلاب,0.5233737
345,गुलूबंद,گلو بند,0.4964783
346,गुस्ताख़,گستاخ,0.55211633
347,गुस्ताख़ी,گستاخی,0.55211633
348,गूंगा,گنگ,0.6342452
349,गोर,گور,0.7020491
350,गोरखर,گورخر,0.5517197
351,गोरिस्तान,گورستان,0.6272603
352,गोश्त,گوشت,0.6014644
353,चमचा,چمچه,0.63098836
354,चम्मच,چمچه,0.5418052
355,चरख़ा,چرخ,0.53289866
356,चरबी,چربی,0.6352913
357,चराग़,چراغ,0.61873114
358,चरागाह,چراگاه,0.5078475
359,चश्मदीद,چشم دید,0.4831844
360,चाक़ू,چاقو,0.6250791
361,चादर,چادر,0.6184301
362,चाबुक,چابک,0.6148365
363,चाय,چای,0.61679256
364,चायख़ाना,چایخانه,0.4644045
365,चायदान,چایدان,0.5387638
366,चारदीवारी,چهار دیواری,0.4746482
367,चाशनी,چاشنی,0.6176749
368,चिराग़,چراغ,0.6824872
369,चिलग़ोज़ा,چلغوزه,0.6231319
370,चिलम,چلم,0.6503975
371,चीख़,جیغ,0.48020223
372,चीज़,چیز,0.49713725
373,चुक़ंदर,چقندر,0.60039526
374,चूज़ा,چوزه,0.6450411
375,चूपान,چوپان,0.5895483
376,चेहरा,چهره,0.4907746
377,चोग़ा,چوقا,0.7322834
378,जंग,جنگ,0.53134835
379,जंगजू,جنگجو,0.58521724
380,जंगी,جنگی,0.49546012
381,जगह,جایگاه,0.5703826
382,जज़ा,جزا,0.585304
383,जज़ीरा,جزیره,0.5016078
384,जज़्बा,جذبه,0.43410814
385,जदीद,جدید,0.45897287
386,जनाज़ा,جنازه,0.58596396
387,जन्नत,جنت,0.6592847
388,जमा,جمع,0.5701771
389,जमात,جماعت,0.5318922
390,जलवा,جلوه,0.5798449
391,जलाल,جلال,0.605977
392,जलालाबाद,جلال‌آباد,0.589794
393,जल्द,جلد,0.469987
394,जल्लाद,جلاد,0.51552
395,जवान,جوان,0.5932619
396,जवानी,جوانی,0.47952574
397,जवाब,جواب,0.51367223
398,जशन,جشن,0.60833365
399,जसूर,جسور,0.53472334
400,जहाँगीर,جهانگیر,0.51014113
401,जहाज़,جهاز,0.37640005
402,जहान,جهان,0.5190799
403,ज़ंग,زنگ,0.59849197
404,ज़ंजीर,زنجیر,0.40325284
405,ज़कात,زکات,0.55490965
406,ज़ख़ीरा,ذخیره,0.46186063
407,ज़ख़्म,زخم,0.5381381
408,ज़नाना,زنانه,0.45305982
409,ज़फ़र,ظفر,0.42285305
410,ज़बान,زبان,0.4250728
411,ज़बानी,زبانی,0.42257896
412,ज़ब्त,ضبط,0.44954455
413,ज़मानत,ضمانت,0.49171507
414,ज़माना,زمانه,0.5254709
415,ज़मींदार,زمین‌دار,0.39820462
416,ज़मीन,زمین,0.38557366
417,ज़मीनी,زمینی,0.35646704
418,ज़र,زر,0.5989462
419,ज़रा,ذره,0.51180303
420,ज़रूर,ضرور,0.4901181
421,ज़रूरत,ضرورت,0.40036038
422,ज़रूरी,ضروری,0.42659783
423,ज़र्द,زرد,0.4803346
424,ज़र्दा,زرد,0.4803346
425,ज़र्रा,ذره,0.50131327
426,ज़लज़ला,زلزله,0.43965754
427,ज़हमत,زحمت,0.46341005
428,ज़हर,زهر,0.57751966
429,ज़हरीली,زهری,0.50183934
430,ज़ात,ذات,0.5013934
431,ज़ायक़ा,ذائقه,0.38999954
432,ज़ार,زار,0.6094257
433,ज़ार-ज़ार,زار زار,0.51191574
434,ज़ाहिर,ظاهر,0.5275041
435,ज़िंदगानी,زندگانی,0.45639187
436,ज़िंदगी,زندگی,0.43924925
437,ज़िंदा,زنده,0.3554472
438,ज़िंदाबाद,زنده باد,0.49739918
439,ज़िक्र,ذکر,0.5018878
440,ज़िद,ضد,0.4013227
441,ज़िना,زنا,0.51481044
442,ज़िम्मेदार,ذمه دار,0.565305
443,ज़िम्मेदारी,داری,0.5151067
444,ज़िला,ضلع,0.4759697
445,ज़ीना,زینه,0.62244034
446,ज़ीरा,زیره,0.57159686
447,ज़ुल्फ़,زلف,0.557979
448,ज़ेवर,زیور,0.4702251
449,ज़ेहन,ذهن,0.49041173
450,ज़ोर,زور,0.62225896
451,ज़ोरदार,زوردار,0.52878284
452,ज़्यादती,زیادتی,0.37096477
453,जाँबाज़,جانباز,0.3241218
454,जादू,جادو,0.5885532
455,जादूगर,جادوگر,0.67008036
456,जान,جان,0.44532007
457,जानवर,جانور,0.430929
458,जाम,جام,0.59164953
459,जामा,جامه,0.61158967
460,जायज़,جائز,0.513851
461,जायदाद,جاداد,0.608581
462,जारी,جاری,0.38785878
463,जाली,جعلی,0.4674915
464,जासूस,جاسوس,0.5845553
465,जाहिल,جاهل,0.6706436
466,जिगर,جگر,0.607585
467,जिबुती,جیبوتی,0.6457055
468,जुदा,جدا,0.48767388
469,जुदाई,جدایی,0.4052171
470,जुनून,جنون,0.46320516
471,जुमा,جمعه,0.46890643
472,जुर्माना,جرمانه,0.4296322
473,जुस्तजू,جستجو,0.5269856
474,जेब,جیب,0.6705881
475,जोश,جوش,0.6931452
476,तंग,تنگ,0.71911395
477,तंगी,تنگی,0.50168604
478,तंज़,طنز,0.45234454
479,तंदुरुस्त,تندرست,0.5528572
480,तंदूर,تنور,0.64973515
481,तंबाकू,تنباکو,0.5508365
482,तंबू,تنبو,0.6211676
483,तक़दीर,تقدیر,0.44769442
484,तक़रीबन,تقریباً,0.28790733
485,तक़सीम,تقسیم,0.41834632
486,तक़ाज़ा,تقاضا,0.46508726
487,तख़्त,تخت,0.47856966
488,तख़्ता,تخته,0.5628137
489,तजल्ली,تجلّی,0.67179424
490,तजुर्बा,تجربه,0.5970297
491,तनख़्वाह,تنخواه,0.6278291
492,तनहा,تنها,0.45829326
493,तनहाई,تنهایی,0.5784862
494,तना,تنه,0.6640236
495,तनूर,تنور,0.68767077
496,तपेदिक़,تپ دیق,0.5874258
497,तबदील,تبدیل,0.435771
498,तबाह,تباه,0.57031786
499,तबाही,تباهی,0.589819
500,तबीब,طبیب,0.47471192
501,तबीयत,طبیعت,0.47401008
502,तमंचा,تمنچه,0.55624175
503,तमग़ा,تمغا,0.6482131
504,तमन्ना,تمنا,0.5897281
505,तमाचा,تبانجه,0.65381444
506,तमाम,تمام,0.4647871
507,तमीज़,تمیز,0.5749012
508,तर,تر,0.46690288
509,तरक़्क़ी,ترقی,0.54093367
510,तरतीब,ترتیب,0.37964576
511,तरफ़दार,طرفدار,0.49747998
512,तरबूज़,تربز,0.54861635
513,तरबूज़ा,تربزه,0.5597374
514,तराज़ू,ترازو,0.6624193
515,तराना,ترانه,0.33412078
516,तराशा,تراشه,0.50322324
517,तरोताज़ा,تر و تازه,0.5909076
518,तर्ज़,طرز,0.6208489
519,तर्जुमा,ترجمه,0.41007122
520,तर्जुमान,ترجمان,0.42942876
521,तलाक़,طلاق,0.5612709
522,तल्ख़,تلخ,0.56123894
523,तल्ख़ी,تلخی,0.54718935
524,तवज्जो,تَوَجُّه,0.6498266
525,तशद्दुद,تشدد,0.594675
526,तश्तरी,تشت,0.6294492
527,तसमा,تسمه,0.46510687
528,तसल्ली,تسلی,0.7136065
529,तस्दीक़,تصدیق,0.53947574
530,तस्वीर,تصویر,0.3023593
531,तह,ته,0.68713564
532,तहसील,تحصیل,0.5596836
533,ताक़त,طاقت,0.5187393
534,ताकि,تا که,0.48700804
535,ताज,تاج,0.5576116
536,ताजपोशी,تاج,0.5462649
537,ताज़ा,تازه,0.5959159
538,तादाद,تعداد,0.37710595
539,ताबूत,تابوت,0.6103539
540,तार,تار,0.65205204
541,तारीख़,تاریخ,0.52808636
542,तालाब,تالاب,0.6945731
543,तालीम,تعلیم,0.48517847
544,ताल्लुक़,تعلق,0.40751448
545,ताशकंद,تاشکند,0.56984586
546,तिजारत,تجارت,0.43961945
547,तीर,تیر,0.60639066
548,तीरंदाज़,تیرانداز,0.51395965
549,तीरंदाज़ी,تیراندازی,0.51395965
550,तुक्का,تکه,0.67176825
551,तुग़लक़,تغلق,0.57489544
552,तुर्क,ترک,0.6538305
553,तुर्किस्तान,ترکستان,0.76841754
554,तुर्की,ترکی,0.69029087
555,तूफ़ान,طوفان,0.6717389
556,तेज़,تیز,0.7144719
557,तेज़ाब,تیزاب,0.6674529
558,तेहरान,تهران,0.40123755
559,तैयार,تیار,0.45699152
560,तोती,طوطی,0.58008415
561,तोप,توپ,0.70378345
562,तोपची,توپچی,0.64368254
563,तोहफ़ा,تحفه,0.550958
564,तौहीन,توهین,0.67626375
565,दंग,دنگ,0.41982016
566,दंगल,دنگل,0.38730446
567,दंगा,دنگل,0.52489436
568,दंदान,دندان,0.561412
569,दफ़तर,دفتر,0.45772526
570,दफ़ा,دفاع,0.4091884
571,दफ़्तर,دفتر,0.45772526
572,दम,دم,0.6592119
573,दमिश्क़,دمشق,0.3779255
574,दर,در,0.41547284
575,दरअसल,در اصل,0.3419368
576,दरख़ास्त,درخواست,0.47896034
577,दरख़्त,درخت,0.47518304
578,दरगाह,درگاه,0.45255032
579,दरबार,دربار,0.6710855
580,दरमियान,در میان,0.21397898
581,दरवाज़ा,دروازه,0.5757139
582,दरवान,دروان,0.6733819
583,दरवेश,درویش,0.60121584
584,दराज़,دراز,0.5783591
585,दरिंदा,درنده,0.58025813
586,दरोग़,دروغ,0.62890977
587,दरोग़ा,داروغه,0.5350858
588,दर्ज,درج,0.52869624
589,दर्ज़ी,درزی,0.5231569
590,दर्जा,درجه,0.580961
591,दर्द,درد,0.48950982
592,दर्या,دریا,0.47632456
593,दर्याई,دریائی,0.54016906
594,दर्रा,دره,0.5583674
595,दलील,دلیل,0.33520755
596,दस्तख़त,دستخط,0.40411273
597,दस्ता,دسته,0.43889782
598,दस्तावेज़,دستاویز,0.3697762
599,दहन,دهن,0.62444085
600,दहलीज़,دهلیز,0.49130383
601,दहेज़,جهیز,0.46675134
602,दाख़िल,داخل,0.2645582
603,दाग़,داغ,0.6122161
604,-दान,دانستن,0.29367223
605,दामन,دامن,0.6202886
606,दामाद,داماد,0.68559843
607,-दार,ـدار,0.53281134
608,दारचीनी,دارچین,0.5211927
609,दारू,دارو,0.5942268
610,दावा,دعوی,0.5852323
611,दास्तान,داستان,0.41919938
612,दिक़्क़त,دقت,0.5530211
613,दिरम,درهم,0.59905297
614,दिलचस्प,دلچسپ,0.59165955
615,दिलबर,دلبر,0.6403163
616,दिलरुबा,دلربا,0.63169295
617,दिलासा,دل‌آسا,0.6158794
618,दिलेरी,دلیری,0.68240726
619,दीदार,دیدار,0.48893797
620,दीवान,دیوان,0.5757824
621,दीवानगी,دیوانگی,0.58126837
