loan_word,original_word
Ehrmann,Ehrmann
Eiben,Eiben
Eichel,Eichel
Eichenberg,Eichenberg
Eichholz,Eiche
Eiland,Eiland
Eilert,Eilert
Eimer,Eimer
einkorn wheat,Einkorn
Einsatzgruppe,Einsatzgruppe
Einsiedeln,Einsiedeln
Einstein,Einstein
Einstellung,Einstellung
Eisbock,Eisbock
Eischen,Eischen
Eisenbach,Eisenbach
Eisenberger,Eisenberger
Eisenhauer,Eisenhauer
Eisenstein,Eisenstein
Eisinger,Eisinger
eiswein,Eiswein
elative,Elativ
Elbe,Elbe
Elfers,Elfers
Elise,Elise
Elsa,Elsa
Elsass,Elsass
Elting,Elting
Emch,Emch
Emel,Emel
Emler,Emler
emmer,Emmer
Encke,Encke
Ender,Ender
Enders,Enders
energid,Energid
Energiewende,Energiewende
Engelken,Engelken
Engert,Engert
engram,Engramm
Enneking,Enneking
Ennen,Ennen
Ensminger,Ensminger
Entlebucher,Entlebucher
Entscheidungsproblem,Entscheidungsproblem
Entz,Enz
enzyme,Enzym
eosin,Eosin
eosinophil,eosinophil
Epstein,Epstein
Erbe,Erbe
ergotamine,Ergotamin
Erich,Erich
Erlenmeyer,Erlenmeyer
ermelin,Hermelin
Ernst,Ernst
Ernster,Ernster
ersatz,Ersatz
Ertz,Ertz
Esch,Esch
Esker,Esker
Esslinger,Esslinger
ester,Ester
eszett,Eszett
ethyl,Ethyl
etiolin,Etiolin
eucaine,Eukain
euchre,Juckerspiel
eustasy,eustatische
Evert,Evert
Existenz,Existenz
extratone,extrahieren
Eyrich,Eyrich
Faas,Faas
Fabacher,Fabacher
fachidiot,Fachidiot
fackeltanz,Fackeltanz
Fahl,Fahl
fahlband,Fahlband
fahlerz,Fahlerz
Fahr,Fahr
Fahrenheit,Fahrenheit
Fahrner,Fahrner
Fahrvergnügen,Fahrvergnügen
faltboat,Faltboot
Fandrich,Fandrich
Fassnacht,Fassnacht
Faulstich,Faulstich
Feder,Feder
Federweisser,Federweißer
Fehrenbacher,Fehrenbacher
Feigenbaum,Feigenbaum
Feiler,Feiler
Felch,Felch
feldgrau,Feldgrau
Feldman,Feldmann
feldwebel,Feldwebel
felsenmeer,Felsenmeer
Fender,Fenrich
fenster,Fenster
Fenter,Fenter
Fess,Fess
fest,Fest
festbier,Festbier
festschrift,Festschrift
Fette,Fette
Feucht,Feucht
Feuerborn,Feuerborn
Feuerstein,Feuerstein
Ficker,Ficker
Fiebig,Fiebig
Fiedler,Fiedler
Fienen,Journal of German-American Studies
fife,Pfeife
Figge,Figge
Fillinger,Fillinger
Filter,Filter
Finder,Finder
Finkel,Finkel
firn,Firn
Fischer,Fischer
Fischler,Fischler
Fitzner,Fitzner
flak,FlaK
flammkuchen,Flammkuchen
Flath,Flath
Flegel,Flegel
flehm,flehmen
flehman,flehmen
Flehman,flehmen
flehmen,flehmen
Fleischer,Fleischer
Floch,Floch
Floersch,Flörsch
Fluegel,Flügel
flugelhorn,Flügelhorn
foehn,Föhn
Foell,Föll
Foertsch,Förtsch
folklorism,Folklorismus
Forelle,Forelle
forellenstein,Forellenstein
formant,Formant
Forst,Forst
Forstner,Forstner
Frankenberg,Frankenberg
Frankenberger,Frankenberger
Frankenstein,Frankenstein
Frankfurt am Main,Frankfurt am Main
frankfurter,Frankfurter
Frankfurter,Frankfurter
Frankhauser,Frankhauser
Franz,Franz
frass,Fraß
frau,Frau
Frauenfeld,Frauenfeld
fraulein,Fräulein
Frech,frech
Freiberger,Freiberger
Freikorps,Freikorps
Frerichs,Frerichs
Frericks,Frericks
fresh,*frisk
fress,fressen
Freudenburg,Freudenburg
Freudenheim,Freudenheim
Friedersdorf,Friedersdorf
Friedmann,Friedmann
Friedt,Friedt
frikadellen,Frikadellen
Frischmann,Frischmann
Fritz,Fritz
Froese,Fröse
Frohlich,Fröhlich
Frommer,Frommer
Fuchs,Fuchs
Fuelling,Fülling
Fuhrer,Führer
Führer,Führer
Fulda,Fulda
Full,Full
Funke,Funke
Funkspiel,Funkspiel
funktionslust,Funktionslust
Gabert,Gabert
Gagen,Gagen
Gahr,Gahr
Galster,Galster
Gansser,Gansser
Ganzer,Ganzer
ganzfeld,ganz
Garbe,Garbe
Garms,Garms
Garrelts,Garrelts
Gass,Gass
Gassenheimer,Gassenheimer
Gassmann,Gassmann
Gaster,Gaster
Gasthaus,Gasthaus
Gau,Gau
gauleiter,Gauleiter
Gaumer,Gaumer
Gebel,Gebel
Gebhardt,Gebhardt
Geck,Geck
gedankenexperiment,Gedankenexperiment
Geerdes,Geerdes
Geffert,Geffert
gegenhalten,Gegenhalten
gegenion,gegen
gegenpressing,gegenpressing
gegenschein,Gegenschein
Gegg,Gegg
Gehlhausen,Gehlhausen
Gehling,Gehling
Gehm,Gehm
Gehring,Gehring
Gehrke,Gehrke
Geisel,Geisel
Geisen,Geisen
Geist,Geist
geist,Geist
gelande,Gelände
geländeläufer,Geländeläufer
gelandesprung,Geländesprung
gelbstoff,Gelbstoff
Gellert,Gellert
Gellman,Gellmann
gemeinschaft,Gemeinschaft
gemütlich,gemütlich
Gemütlichkeit,Gemütlichkeit
gene,Gen
Gensel,Gensel
Genter,Genter
Genthner,Genthner
geognosy,Geognosie
Geopolitik,Geopolitik
Georgi,Georgi
geotectonics,Geotektonik
Geppert,Geppert
Gera,Gera
Gerads,Gerads
Gerdts,Gerdts
Gerhardt,Gerhardt
Gerhold,Gerhold
Gericke,Gericke
Geringer,Geringer
Gerken,Gerken
Gerloff,Gerloff
Germer,Germer
Gernert,Gernert
Gerold,Gerold
Gersch,Gersch
Gerstner,Gerstner
Gertsch,Gertsch
Gesamtkunstwerk,Gesamtkunstwerk
Gesellschaft,Gesellschaft
Gessler,Gessler
gestalt,Gestalt
Gestapo,Gestapo
gesundheit,Gesundheit
Gettler,Gettler
Gewürztraminer,Gewürztraminer
gibel,Gibel
Gick,Gick
Giebel,Giebel
Gierth,Gierth
Giesen,Giesen
Gieser,Gieser
Gietzen,Gietzen
Gingerich,Güngerich
Gisler,Gisler
Glahn,Glahn
Glas,Glas
Glauber,Glauber
Glawe,Glawe
Gleckner,Glöckner
Gleich,Gleich
Gleichschaltung,Gleichschaltung
globin,Globin
glockenspiel,Glockenspiel
Glockner,Glöckner
Gloeckner,Glöckner
Gloor,Gloor
Glückstadt,Glückstadt
Gluckstein,Glückstein
gluhwein,Glühwein
Gluth,Gluth
gneiss,Gneis
Godel,Gödel
Goding,Göding
Goebbels,Goebbels
Goecke,Göcke
Goeden,Goeden
Goepfert,Göpfert
Goerke,Goerke
Goers,Görs
Gohmert,Gohmert
Gohr,Gohr
Goldfarb,Goldfarb
Goldkopf,Goldkopf
Goldschmidt,Goldschmidt
Goldstein,Gold
Goldwasser,Goldwasser
Golz,Golz
Gompers,Gompers
Goos,Goos
Gores,Göres
Goschen,Göschen
gose,Gose
Gott in Himmel,Gott im Himmel
Gottschee,Kočevje
Gottscheer,Gottscheer
Gottscheerish,Gottscheerisch
Gottwald,Gottwald
graben,Graben
Grabert,Grabert
Grabner,Grabner
graf,Graf
Grafe,Grafe
graff,Graf
Grahl,Grahl
Grall,Grall
Gramer,Gramer
grammatischer Wechsel,grammatischer Wechsel
Graner,Graner
Granzow,Granzow
graphite,Graphit
Gras,Gras
Grasmick,Grasmick
Grau,Grau
Graubünden,Graubünden
graupel,Graupel
grauwacke,Grauwacke
grenz ray,Grenz
Grether,Grether
Gretz,Gretz
Grieger,Grieger
Griesemer,Griesemer
Grimme,Grimme
Gritz,Gritz
grobian,Grobian
Gronau,Gronau
groschen,Groschen
Grossberg,Grossberg
Grossman,Grossmann
Grothaus,Grothaus
Grothendieck,Grothendieck
Gruen,Gruen
Gruenwald,Grünwald
Gruetzmacher,Grützmacher
Grunder,Gründer
