loan_word,original_word
squètche,sketch
ST,ST
staff,staf
stand,standen
standard,standard
star,sterre
starter,starter
starting block,starting block
steak,steike
steeple,stepel
stellarator,stellarator
steward,steward
stock,stocc
Stoneham,Stonham
stop,full stop
storytelling,storytelling
streaming,stremyng
stress,destresse
striptease,striptease
stylographe,stylograph
subliminal,subliminal
super-héros,superhero
superman,superman
superstore,superstore
superwoman,plural
supplétion,suppletion
supporter,supporter
suprématie,supremacy
surfer,surf
suspense,suspense
SUV,SUV
sweat,swete
swing,swyngen
switch,switch
T-shirt,T-shirt
tabloïd,tabloid
tacle,tackle
tag,tagge
tank,tank
tarmac,tarmacadam
taser,taser
tatouer,tattoo
Taylor,Taylor
tee-shirt,tee-shirt
teenager,teenager
template,template
Tenderloin,Tenderloin
tennis,tennis
terminus,terminus
test,test
Texas,Texas
Thaïlande,Thailand
thanakha,thanaka
théisme,theism
tholin,tholin
thread,thred
thriller,thriller
ticheurte,T-shirt
ticket,ticket
timing,timing
tinque,tank
toast,tost
toner,toner
tonic,tonic
too much,too much
top,top
top-modèle,top model
top-secret,top-secret
toune,tune
tourisme,tourism
touriste,tourist
tract,tract
Tracy,Tracy
trader,trader
trafic,traffic
tramway,tramway
trance,traunce
transistor,transistor
travelling,travel
trench-coat,trench coat
troll,trollen
trolley,trolley
truck,truken
trust,trust
tunnel,tunne
tupperware,plural
twist,twist
tycoon,大君
Tylenol,Tylenol
Ultima Thule,Ultima Thule
underflip,underflip
underground,undergrounde
uppercut,uppercut
van,fan
Van Allen,Van Allen
vaseline,uncountable
ventilateur,ventilator
véranda,veranda
vibe,vibe
Victoriatown,Victoriatown
Victoriaville,Victoriaville
vidéo,video
vintage,vendage
visualiser,visualise
vocaliste,vocalist
volley-ball,volleyball
volt,volt
vote,vote
vuvuzela,vuvuzela
wafer,wafre
wagon,wæġn
walkman,walkman
wallaby,wallaby
warrant,warant
water,water
water-closet,water closet
waterpolo,water polo
watt,watt
WC,WC
Web,Web
webcam,webcam
week-end,weekend
weekend,weekend
weird,werde
Werth,Werth
western,westerne
wheeling,wheeling
whig,whig
whiskey,whiskey
whisky,whisky
whist,whist
wiki,web
William,William
Williams,Williams
Wilson,Wilson
winchester,Winchester
Winnipeg,Winnipeg
wokisme,wokeism
-woman,businesswoman
woofing,woofing
wrap,wrappen
XPS,XPS
yacht,yacht
yacht-club,yacht club
yachtsman,yachtsman
yachtswoman,plural
yanké,Yankee
yard,yerd
yes,yes
yéyé,yeah-yeah
zoom,zoom
