loan_word,original_word,loan_word_ipas,original_word_ipas
मुफ़्त,مفت,"['/mʊpʰt̪/', '/mʊft̪/', '/mʊ.pʰət̪/', '/mʊ.fət̪/']",['/muf.tin/']
मुफ़्ती,مفتی,[],"['/muftiː/', '/mʊftiː/', '/moftiː/', '/muftiː/']"
मुबारक,مبارک,[],[]
मुरदा,مرده,['/mʊɾ.d̪ɑː/'],[]
मुरदाबाद,مرده باد,['/mʊɾ.d̪ɑː.bɑːd̪/'],[]
मुर्ग़ा,مرغ,"['/mʊɾ.ɡɑː/', '/mʊɾ.ɣɑː/']","['/mraɣ/', '/muɾɣ/', '/mʊɾɣ/', '/moɾɢ/', '/muɾɣ/']"
मुर्ग़ाबी,مرغابی,"['/mʊɾ.ɡɑː.biː/', '/mʊɾ.ɣɑː.biː/']",[]
मुर्दन,مردن,['/mʊɾ.d̪ən/'],"['/muɾdan/', '/mʊɾdan/', '/moɾdæn/', '/muɾdan/']"
मुर्दनी,مردنی,[],[]
मुर्दार,مردار,[],[]
मुल्ला,ملا,['/mʊl.lɑː/'],"['/mul.laː/', '/mulːɑː/', '/mʊlːɒː/', '/molːɒː/', '/mulːɔː/']"
मुश्किल,مشکل,[],"['/muʃˈkil/', '/mʊʃ.kɪl/']"
मुसलमान,مسلمان,['/mʊ.səl.mɑːn/'],"['/musalmɑːn/', '/mʊsalmɒːn/', '/mosælmɒːn/', '/musalmɔːn/', '/mʊ.səl.mɑːn/']"
मुसाफ़िर,مسافر,"['/mʊ.sɑː.pʰɪɾ/', '/mʊ.sɑː.fɪɾ/']","['/mu.saː.fir/', '/musɑːfiɾ/', '/mʊsɒːfɪɾ/', '/mosɒːfeɾ/', '/musɔːfiɾ/', '/mʊ.sɑː.fɪɾ/']"
मुहब्बत,محبت,['/mʊ.ɦəb.bət̪/'],"['/muhabbat~mahabbat/', '/mʊhabbat~mahabbat/', '/mohæbbæt~mæhæbbæt/', '/muhabbat~mahabbat/', '/mə.ɦəb.bət̪/', '/mʊ.ɦəb.bət̪/']"
मुहर,مهر,['/mʊ.ɦəɾ/'],"['/mahɾ/', '/mahɾ/', '/mɒːɾ/', '/mæhɾ/', '/mahɾ/', '/mihɾ/', '/mɪhɾ/', '/meːɾ/', '/mehɾ/', '/mehɾ/', '/muhɾ/', '/mʊhɾ/', '/moːɾ/', '/mohɾ/', '/mɵːhɾ/']"
मुहाक़,محاق,"['/mʊ.ɦɑːk/', '/mʊ.ɦɑːq/']","['/maħq/', '/ma.ħaːq/', '/mu.ħaːq/', '/mi.ħaːq/']"
मुहिम,مهم,['/mʊ.ɦɪm/'],"['/mu.himm/', '/mohem/', '/muhimm/', '/mʊhɪmm/', '/mohemm/', '/muhimm/']"
मूसल,موصل,['/muː.səl/'],[]
मूसा,مُوسَی,['/muː.sɑː/'],[]
मेज़,میز,"['/meːd͡ʒ/', '/meːz/']","['/meːz~miːz/', '/meːz~miːz/', '/miːz~miːz/', '/mez~miz/']"
मेज़पोश,میز,"['/meːd͡ʒ.poːʃ/', '/meːz.poːʃ/']","['/meːz~miːz/', '/meːz~miːz/', '/miːz~miːz/', '/mez~miz/']"
मेज़बान,میزبان,"['/meːd͡ʒ.bɑːn/', '/meːz.bɑːn/']",['/meːz.bɑːn/']
मेहनत,محنت,"['/meːɦ.nət̪/', '/məɦ.nət̪/', '/meɦ.nət̪/']","['/mihnat/', '/mɪhnat/', '/mehnæt/', '/mehnat/', '/meːɦ.nət̪/', '/mɪɦ.nət̪/']"
मेहनती,محنتی,['/meː.ɦən.t̪iː/'],[]
मेहमान,مهمان,['/meːɦ.mɑːn/'],"['/mihmɑːn/', '/mɪhmɒːn/', '/mehmɒːn/', '/mehmɔːn/']"
मेहमानदारी,مهما‌ن‌داری,['/meːɦ.mɑːn.d̪ɑː.ɾiː/'],[]
मेहमाननवाज़ी,مهمان‌نوازی,"['/meːɦ.mɑːn.nə.ʋɑː.d͡ʒiː/', '/meːɦ.mɑːn.nə.ʋɑː.ziː/']",[]
