loan_word,original_word,loan_word_ipas,original_word_ipas
हादसा,حادثه,['/ɦɑːd̪.sɑː/'],"['/hɑːdisa/', '/hɒːdɪsa/', '/hɒːdese/', '/hɔːdisa/']"
हाफ़िज़,حافظ,[],"['/hɒːfez/', '/ħaː.fazˤ/']"
हाफ़िज़ा,حافظه,"['/ɦɑː.pʰɪ.d͡ʒɑː/', '/ɦɑː.fɪ.zɑː/']",[]
हाल,حال,"['/ɦɑːl/', '/ɦɑː.lɐ/', '/ˈɦɑː.l̪ɐ/']",[]
हालत,حالت,['/ɦɑː.lət̪/'],[]
हालाँकि,حالا که,['/ɦɑː.lɑ̃ː.kiː/'],"['/ħaː.lan/', '/hɑːlɑː/', '/hɒːlɒː/', '/hɒːlɒː/', '/hɔːlɔː/']"
हिंद,هند,['/ɦɪnd̪/'],"['/hind/', '/hɪnd/', '/hend/', '/hind/']"
हिंदी,هندی,['/ɦɪn.d̪iː/'],['/henˈdiː/']
हिंदुस्तानी,هندوستانی,['/ɦɪn.d̪ʊs.t̪ɑː.niː/'],[]
हिकमत,حکمت,[],[]
हिजरत,هجرت,['/ɦɪd͡ʒ.ɾət̪/'],[]
हिज्जे,هِجَاء,[],"['/hi.d͡ʒaːʔ/', '/had͡ʒ.d͡ʒaːʔ/']"
हिम्मत,همت,[],[]
हिरासत,حراست,['/ɦɪ.ɾɑː.sət̪/'],['/ɦɪ.ɾɑː.sət̪/']
हिलाल,هلال,['/ɦɪ.lɑːl/'],['/hi.laːl/']
हिसाब,حساب,['/ɦɪ.sɑːb/'],"['/hisɑːb/', '/hɪsɒːb/', '/hesɒːb/', '/hisɔːb/']"
हुकूमत,حکومت,['/ɦʊ.kuː.mət̪/'],"['/hukuːmat/', '/hʊkuːmat/', '/hokuːmæt/', '/hukumat/', '/ɦʊ.kuː.mət̪/']"
हुक्मरान,حکمران,['/ɦʊkm.ɾɑːn/'],[]
हुज़ूर,حضور,"['/ɦʊ.d͡ʒuːɾ/', '/ɦʊ.zuːɾ/']","['/huzuːɾ/', '/hʊzuːɾ/', '/hozuːɾ/', '/huzuɾ/', '/ɦʊ.zuːɾ/', '/ɦə.zuːɾ/']"
हुनर,هنر,['/ɦʊ.nəɾ/'],"['/hunaɾ/', '/hʊnaɾ/', '/honæɾ/', '/hunaɾ/']"
हुस्न,حسن,['/ɦʊsn/'],"['/husn/', '/hʊsn/', '/hosn/', '/husn/', '/hasan/', '/hasan/', '/hæsæn/', '/hasan/', '/ɦʊ.sə.nᵊ/', '/ħas.san/']"
हैरत,حیرت,['/ɦɛː.ɾət̪/'],[]
हैरान,حیران,['/ɦɛː.ɾɑːn/'],"['/haiɾɑːn/', '/haɪɾɒːn/', '/hæeɾɒːn/', '/haiɾɔːn/', '/ɦɛː.ɾɑːn/']"
हैवान,حیوان,['/ɦɛː.ʋɑːn/'],"['/hajwɑːn/', '/hajwɒːn/', '/hejvɒːn/', '/hajvɔːn/']"
हैवानियत,حیوانیت,['/ɦɛː.ʋɑː.nɪ.jət̪/'],[]
होशियार,هوشیار,['/ɦoː.ʃɪ.jɑːɾ/'],"['/hoːʃjɑːɾ/', '/hoːʃjɒːɾ/', '/huːʃjɒːɾ/', '/hɵːʃjɔːɾ/']"
हौसला,حوصله,['/ɦɔːs.lɑː/'],[]
