loan_word,original_word
beau geste,beau geste
beau idéal,beau idéal
beau joueur,beau
beau monde,beau monde
beau sabreur,beau
Beauchamp,Beauchamp
Beauchemin,Beauchemin
beaucoup,beaucoup
Beaudoin,Beaudoin
Beaudreau,Beaudreau
Beaudry,Beaudry
Beaujolais,Beaujolais
Beaulieu,beau + lieu
Beauregard,Beauregard
beaux-arts,beaux-arts
becard,bécard
béchamel,béchamel
béchamel sauce,sauce béchamel
bêche-de-mer,bêche-de-mer
becquerel,becquerel
Bedard,Bédard
bedeguar,bédégar
Bedel,Bedel
bedlamer,bête de la mer
Beecham,Beauchamp
beef bourguignon,bœuf bourguignon
beef olive,alouette
Beghard,bégard
begonia,bégonia
béguin,béguin
beguinage,béguinage
beige,(dialectal) beige
beignet,beignet
Bejaia,Béjaïa
Béjaïa,Béjaïa
bel esprit,bel esprit
Belainsky,Belainsky
Beland,Beland
belandre,belandre
Belcourt,Belcourt
Beliveau,Béliveau
Belle Époque,Belle Époque
belle sabreuse,belle
Belleau,Belleau
Bellefontaine,Bellefontaine
Bellegarde,Bellegarde
Bellerose,Bellerose
belles-lettres,belles-lettres
Belliard,Belliard
Bellot,Bellot
Bellotte,Bellotte
belote,belote
Belux,Belux
Benedictine,bénédictin
bengaline,bengaline
Beninois,béninois
benitier,bénitier
Benne,Benne
Benoist,Benoist
berceuse,berceuse
Bercier,Bercier
berdache,bardache
beret,béret
bergamot,bergamote
Berger Picard,berger picard
bergerette,bergerette
Bergeron,Bergeron
Beringer,Béringer
Berland,Berland
berline,berline
berlingot,berlingot
berm,berme
Bernardin,Bernardin
Bernardy,Bernardy
Bernet,Bernet
Bernier,Bernier
Berrien,Berrien
Berry,Berry
besaiel,bisaïeul
Besançon,Besançon
Besson,Besson
bête de scène,bête de scène
bête noire,bête noire
bêtise,bêtise
Bettencourt,Bettencourt
beurrage,beurrage
Beurré,beurré
beurre manié,beurre manié
Bézier,Bézier
bezique,bésigue
bezoar,bézoard
biandry,biandrie
bias,biais
Bibeau,Bibeau
bibelot,bibelot
bibliotheke,bibliothèque
bichon,bichon
Bichon Frisé,bichon (à poil) frisé
bicycle,bicycle
bidon,bidon
bien pensant,bien-pensant
Bienaime,Bienaimé
bienséance,bienséance
Bièvre,Bièvre
bigarade,bigarade
bigot,bigot
bijection,bijection
bijou,bijou
bikini,bikini
bilboquet,bilboquet
billet-doux,billet doux
billeté,billeté
billiard,billiard
billiards,billard
billion,billion
billon,billon
billot,billot
Binedama,Binedama
binette,binette
binocular,binoculaire
biopsy,biopsie
Biot,Biot
Biscaichipy,Biscaïchipy
biscornu,biscornu
biscotin,biscotin
Bisel,Bisel
biset,biset
bisque,bisque
Bisson,Bisson
Bissonnet,Bissonnet
Bissonnette,Bissonnette
bistoury,bistouri
bistre,bistre
bistro,bistro(t)
bivouac,bivouac
bizarre,bizarre
bizarrerie,bizarrerie
blague,blague
blanc,blanc
Blanc de Hotot,Blanc de Hotot
Blanchard,Blanchard
Blanchet,Blanchet
Blanchett,Blanchett
Blanchette,Blanchette
blanquette,blanquette
blasé,blasé
bled,bled
blessure,blessure
blet,blettir
bleu celeste,bleu céleste
bliaut,bliaut
blindage,blindage
bloc,bloc
blocage,blocage
Blois,Blois
Blon,Blon
blondine,blondine
Blouin,Blouin
blouson,blouson
bobbin,bobine
bobèche,bobèche
bobo,bobo
bocal,bocal
bocasine,bocassin
Boche,boche
Boileau,Boileau
Boiron,Boiron
Bois,Bois
Bois Caïman,Bois Caïman
bois d'arc,bois d'arc
bois durci,bois durci
Boisbriand,Boisbriand
Boisclair,Boisclair
boiserie,boiserie
bolide,bolide
Bollé,Bollé
bolognaise,bolognaise
bomb,bombe
bombard,bombarde
Bombardier,Bombardier
bombardon,bombardon
bombe,bombe
bombé,bombé
Bon Accord,bon accord
bon appétit,bon appétit
bon mot,bon mot
bon ton,bon ton
bon vivant,bon vivant
bon voyage,bon voyage
bonbon,bonbon
bonbonniere,bonbonnière
Bonchrétien,plural
bondieuserie,bondieuserie
bonduc,bonduc
bone,bornoyer
Bône,Bône
Bonenfant,Bonenfant
Bongard,Bongard
bonheur du jour,bonheur-du-jour
bonhomie,bonhomie
Bonjour,Bonjour
bonne,bonne
bonne bouche,bonne bouche
bonze,bonze
boo-boo,bobo
bookoo,beaucoup
borborygm,borborygme
Bordeaux,Bordeaux
Bordelais,Bordelais
bordelaise,bordelaise
Bordenet,Bordenet
bordereau,bordereau
Bordes,Bordes
bosket,bosquet
bossale,bossale
Bossard,Bossard
Bosse,Bosse
bottine,bottine
boubou,boubou
Bouchard,Bouchard
bouche,bouche
bouchée,bouchée
Boucher,Boucher
boudin,boudin
boudinage,boudinage
boudoir,boudoir
Boudreaux,Boudreaux
bouffage,plural
bouffant,bouffant
bouffe,bouffe
bouffée délirante,uncountable
Bougainville,Bougainville
bougie,bougie
bouillabaisse,bouillabaisse
bouilli,bouilli
bouillon,bouillon
boulangerie,boulangerie
boule,boule
Boulenger,Boulenger
Boulet,Boulet
boulevard,boulevard
boulevardier,boulevardier
bouleversement,bouleversement
bouquet,bouquet
Bouquet,Bouquet
bouquet garni,bouquet garni
bouquetin,bouquetin
Bourdain,Bourdain
Bourdin,Bourdin
bourgeois,bourgeois
bourgeoise,bourgeoise
bourgeoisie,bourgeoisie
Bourget,Bourget
Bourguignon,bourguignon
bourn,borne
bourne,bourne
bourrée,bourrée
bourse,bourse
Boursiquot,Boursiquot
bousillage,bousillage
boutade,boutade
Boutilier,Boutilier
boutique,boutique
bouton,bouton
boutonniere,boutonnière
boutonnière,boutonnière
bouts-rimés,bout
Bouvier,Bouvier
bouvier des Flandres,bouvier des Flandres
boyau,boyau
braconniere,braconnière
braggart,bragard
braille,braille
braise,braise
bralette,bralette
brancard,brancard
branchage,branchage
braquemard,braquemard
bras d'honneur,bras d’honneur
brassard,brassard
Brasselle,Brasselle
brasserie,brasserie
brassiere,brassière
braze,braser
Brazeau,Brazeau
brazier,brasier
Breau,Bréau
brelan,brelan
breloque,breloque
bretelle,bretelle
bretessé,bretessé
Briançon,Briançon
briar,bruyère
bric-a-brac,bric-à-brac
bric-à-brac,bric-à-brac
bricolage,bricolage
bricole,bricole
bricoleur,bricoleur
bride,bride
brie,brie
Brie,Brie
Brienne,Brienne
brigade,brigade
brigadier,brigadier
brigue,brigue
brilliance,brillance
brilliant,brillant
brioche,brioche
briolette,briolette
briquet,briquet
briquetage,briquetage
briquette,briquette
brise soleil,brise-soleil
brise-bise,brise-bise
brisement,brisement
brisque,brisque
brisure,brisure
Broca,Broca
brocard,brocard
brocatel,brocatelle
brocatelle,brocatelle
broche,broche
brochette,brochette
brochure,brochure
broché,broché
brodequin,brodequin
broderie,broderie
Broglie,Broglie
bronze,bronze
Brossard,Brossard
Brossart,Brossart
brouhaha,brouhaha
Broussard,Broussard
Bruges,Bruges
bruit,bruit
Bruley,Bruley
Brumaire,brumaire
brume,brume
brunaille,brunaille
brunet,brunet
brunette,brunette
brunion,brugnon
brunoise,brunoise
brusque,brusque
brusquerie,brusquerie
Brussels,Bruxelles
brut,brut
buccan,boucan
buccaneer,boucanier
buffet,buffet
buffont,bouffant
buisson,buisson
bulletin,bulletin
burbot,barbote
bureau,bureau
bureau de change,bureau de change
burette,burette
burin,burin
burlesque,burlesque
burnoose,burnous
buro,bureau
buron,buron
bushwah,bouchois
busk,busc
bustier,bustier
butte,butte
butyric,butyrique
Buzançais,Buzançais
béarnaise,
cabaret,cabaret
cabas,cabas
cabécou,cabécou
cabernet,cabernet
cabochon,cabochon
cabotage,cabotage
cabotinage,cabotinage
cabré,cabré
cabriole,cabriole
Cabriole leg,cabriole
cabriolet,cabriolet
cachalot,cachalot
cache,cache
cache-sexe,cache-sexe
cachepot,cache-pot
cachet,cachet
cachou,cachou
cadastral,cadastral
cadastre,cadastre
cadet,cadet
Cadillac,Cadillac
cadis,cadis
cadre,cadre
cafard,cafard
café,café
café au lait,café au lait
café noir,café noir
café noisette,café noisette
café-chantant,café-chantant
caféteria,caféteria
cafétéria,cafétéria
cafetière,cafetière
caffeine,caféine
café liégeois,
cagoule,cagoule
cahier,cahier
cahoot,cahute
cahoots,cahute
Caillat,Caillat
Caillouet,Caillouet
caique,caïque
caïquejee,caïquejee
caisson,caisson
cajole,cajoler
Cajuste,Cajuste
calade,calade
Calais,Calais
calambac,calambac
calamine,calamine
calamint,calament
calamitous,calamiteux
calander,calandre
calcule,calcul
calèche,calèche
calembour,calembour
calin,calin
calk,calque
calligram,calligramme
calligraphy,calligraphie
Callovian,callovien
calorie,calorie
calorifere,calorifère
calotte,calotte
caloyer,caloyer
calque,calque
camaieu,camaïeu
camail,camail
camaraderie,camaraderie
cambré,cambré
camion,camion
camisole,camisole
camouflage,camouflage
camouflet,camouflet
Campagne,Campagne
campagnol,campagnol
Canada,Canada
canapé,canapé
canapés,
canard,canard
canary,canarie
cancan,cancan
cancaneuse,cancaneuse
candidature,candidature
canelé,canelé
canelés,
Canigou,Canigou
cannelure,cannelure
Cannes,Cannes
cantatrice,cantatrice
canteen,cantine
cantinière,cantinière
caouk,caouk
caoutchouc,caoutchouc
cape,cap
capharnaum,capharnaüm
capillaire,capillaire
capilotade,capilotade
capitalism,capitalisme
capitalist,capitaliste
capitoulat,capitoulat
caporal,caporal
capot,capot
capote,capote
Cappe,Cappé
caprice,caprice
capricious,capricieux
capriole,capriole
capsule,capsule
capuchin,capuchin
caracal,caracal
caracole,caracole
carafe,carafe
caramel,caramel
carapace,carapace
carbon,carbone
carcajou,carcajou
careen,carene
carene,carène
caress,caresse
caret,caret
cargason,cargaison
caricature,caricature
caricaturesque,caricaturesque
carillon,carillon
carillonneur,carillonneur
cariole,carriole
carmagnole,carmagnole
carnet,carnet
carnivore,carnivore
caroche,caroche
carotid,carotide
carotte,carotte
caroubier,caroubier
carousel,carrousel
Carpentier,Carpentier
Carré de l'Est,Carré de l'Est
carte,carte
carte anglaise,carte anglaise
carte blanche,carte blanche
carte de visite,carte de visite
carte soleil,carte soleil
cartel,cartel
cartilage,cartilage
cartilagineous,cartilagineux
carton,carton
carton-pierre,carton-pierre
cartouche,cartouche
cartridge,cartouche
casaquin,casaquin
casein,caséine
casemate,casemate
casern,caserne
cashew,acajou
cashier,casser
casque,casque
cassation,cassation
casse,casse
casse-croute,casse-croûte
casserole,casserole
cassette,cassette
cassis,cassis
